BV1Vi421f7Go,《腐败的班级干部》,审核我求求你，我已经把敏感词和敏感职称去都换了，你行行好，就算再卡我，起码能不能明确告诉我哪里不行，这样我才能改（T_T)，拍个视频不容易成本挺大的，你行行好,149.5万 播放,生活
BV1dS4y1P7h7,夜店式自习2,-,50.3万 播放,生活
BV1c3411Q7XH,这一定就是原片吧9,视频剧情与人设皆为虚构 不要上升真羊！
本集设定沸羊羊和美羊羊是男女朋友的关系 本视频是沸美cp向哦
这个视频是根据之前沸美视频的cp 设定做的，重复也只是吃醋的表现，不是嘲讽的意思哦！大家不要误解啦！,5173.3万 播放,动画
BV1VE411j7wk,活0活现,微博,1842.1万 播放,生活
BV1GC41137fv,当 世 界 只 剩 一 个 00 后,祝点赞的兄弟长命百岁，永远不死！！！！！！！！！！！！！！！！！！！！！！！！,370.6万 播放,生活
BV1CP4y1W7WJ,官宣了，家人们,-,159.7万 播放,生活
BV16H4y1K7tJ,总裁！夫人她又跑了……,感谢王妈的客串！(˃ ⌑ ˂ഃ ),216.1万 播放,生活
BV1f8411c7Bx,别再问我做什么工作的了……,未找到简介,231.7万 播放,生活
BV1LF411f7TW,【柠×害羞7】起猛了，看到卡芙卡公主抱银狼,-,158.7万 播放,时尚
BV1fK4y1c7xT,10年HR教我的野路子，真的百试百灵诶！,这招真是妙啊…,23.5万 播放,生活
BV1T94y1T7hN,中东到底在争什么？一口气讲透中东乱局,4大势力，3层冲突，5次中东战争，3次石油危机，中东都在争什么？一口气拿下中东这个知识点！,4.4万 播放,知识
BV1Bi4y147Y8,中东战争究竟在打什么？以色列的诞生与崛起【历史调研室08】,求关注求三连！,368.9万 播放,知识
BV1Z8411G7dd,中东：“地缘政治熔炉”如何炼成？,中东：“地缘政治熔炉”如何炼成？,13.7万 播放,知识
BV1UR4y1Q7DE,2022卡塔尔世界杯宣传片：赶紧来感受一下中东风情吧~,youtube,3.7万 播放,生活
BV19w4m117oA,纳赛尔失败以后，中东反帝靠什么？【中东20】,一键三连推荐给更多朋友！,37.6万 播放,知识
BV1ZM4m1X7B2,俄乌失控，中东升温，全球棋手争相“熬鹰”？【熬鹰纪元】,俄乌失控，中东升温，全球棋手争相“熬鹰”？,284.4万 播放,知识
BV1T34y1Z74V,反战公益短片《决定》，中东小男孩的一天！,战乱中的普通人没有选择！深深的无力感,23.0万 播放,影视
BV1H94y1R7Ua,【硬核】一口气了解石油和中东的百年之战｜油价 OPEC 中东…,20世纪，可以说石油是经济的关键，而中东是石油的关键。
短短几十年间，经历了战争、联合、阴谋、政变、暴富、危机、谈判......
今天咱们就来一口气，聊一聊石油和中东的百年战争

感谢服装赞助：sezane,242.6万 播放,知识
BV1rZ4y1U7Zh,这么漂亮的地理课件，b站上可不好找，初中地理《中东》,课件获取方式，见评论区置顶评论,10.3万 播放,知识
BV1UC4y137q2,什么是中东国家，中东战略位置有多重要？中东实力前5名都有谁？一支视频告诉你,什么是中东国家，中东战略位置有多重要？中东5国实力前5名都有谁？一支视频告诉你,1.4万 播放,知识
