27088645,女子在二手平台买周杰伦演唱会门票被骗近50万元,据上城警方，近日，杭州上城一女子没抢到周杰伦演唱会门票，在某二手平台上联系“卖家”，按照卖家指示一步一步操作，结果被骗49万余元。目前案件正在办理中。,686 点赞,thepaper 没有频道
27088597,周杰伦喊话杭州西湖唱歌大爷：咬字比我清楚，谢谢你唱我的歌,据杭州日报，4月18日晚，周杰伦杭州演唱会上隔空喊话西湖大爷：西湖的大爷们，好像有在唱我的歌。（想）去找这些大爷，给他个鼓励，说谢谢你唱我的歌。,117 点赞,thepaper 没有频道
27061593,杭州2株537岁的“夫妻树”双双绽放,据美丽浙江，4月16日，浙江杭州，西湖边上的两棵537岁古楸树双双绽放。这对被称为“最美古树”的夫妻树，见证了杭州500多年的历史变迁。,15 点赞,thepaper 没有频道
27061444,央视网评电竞馆女仆跪式服务：违背公序良俗，暗藏法律风险,浙江义乌多家桌游剧本、电竞网咖宣传“女仆跪式服务”，被写进三部门保障妇女儿童权益典型案例。央视网评：贬损妇女人格尊严，传递性暗示，违背公序良俗，暗藏法律风险。,71 点赞,thepaper 没有频道
27049839,“义乌制造队”已经备战巴黎奥运会！,“巴黎奥运会手环是授权我们工厂生产的。”义乌经营户林道来骄傲地说，去年10月接到生产100万个奥运手环的订单，第一批50万个已空运到巴黎，第二批近几天也将发出。,106 点赞,thepaper 没有频道
27061230,巴黎奥运倒计时100天，张雨霏全力备战逐梦前行,4月17日，2024巴黎奥运会迎来100天倒计时，张雨霏更新社媒豪言："初心不改，逐梦前行。"同时，她写道，马上就是奥运选拔赛了，请继续一起为中国游泳加油助威。,27 点赞,thepaper 没有频道
27089461,奔流｜上海静安区向巴黎拉德芳斯赠送“两河对话”丝巾,《奔流》首季巴黎场启动仪式上，上海市静安区政协主席丁宝定向巴黎拉德芳斯代表皮埃尔-伊夫·吉斯（Pierre-Yves Guice）赠送“两河对话”主题丝巾。,52 点赞,thepaper 没有频道
27089433,奔流｜活动主承办方代表向法方赠礼，祝中法友谊长存,上海报业集团社长李芸与海派艺术家陈家泠共同向法方代表法国参议院法中友好小组副主席樊尚·卢奥先生赠礼。赠品为陈家泠特别设计的瓷盘，绘制有法国国花鸢尾花。,3 点赞,thepaper 没有频道
27110780,中国F1第一人！周冠宇赛后激动落泪，他的头盔亮了……,4月21日，中国首位F1车手周冠宇在上海F1中国大奖赛正赛中获得第14名，成为F1历史第一位在中国站完赛的中国车手。赛后，在全场的欢呼声中，周冠宇掩面而泣。,15 点赞,thepaper 没有频道
27112334,周冠宇正式受聘为上海国际旅游形象公益推广人,4月21日晚，上海市文旅局局长方世忠正式向中国第一位F1车手周冠宇颁发聘书，邀请其成为上海国际旅游形象公益推广人。,2 点赞,thepaper 没有频道
27025405,伊朗深夜动手！中东冲突烈度恐升级？中东问题专家答澎湃,当地时间4月14日凌晨，伊朗伊斯兰革命卫队对以色列目标发动大规模导弹和无人机袭击。中东冲突烈度是否会再升级？对此，中东问题专家王晋接受澎湃新闻采访进行分析。,493 点赞,thepaper 没有频道
27089275,无视伊朗警告决意“杠”到底？以色列反击底气何来？中东问题专家答澎湃,当地时间4月19日凌晨，伊朗、伊拉克和叙利亚多地传出爆炸声，以色列官员随后证实对伊朗发动袭击。19日，中东问题专家王晋就当前局势接受澎湃新闻采访。,297 点赞,thepaper 没有频道
27089122,中方是否会就中东局势与以色列对话？外交部回应,4月19日，有记者就伊朗伊斯法罕市遭袭提问称，针对此次的袭击事件，中方是否会与以色列进行对话？外交部发言人林剑表示，中方反对任何导致局势进一步紧张升级的行为。,34 点赞,thepaper 没有频道
27088984,伊以冲突螺旋升级，评论员：中东战争阴云不断扩大，更多国家或被卷入,当地时间4月19日凌晨，以色列导弹击中了伊朗境内一处目标。据伊朗媒体报道，伊朗防空系统已展开反击。军事评论员白孟宸指出，中东战争范围扩大，其他国家或将被卷入。,59 点赞,thepaper 没有频道
27062540,俄乌、中东、公平竞争等：朔尔茨3天中国行，谈了这些热点问题,4月16日，德国总理朔尔茨在3天访华行程结束前，在北京一家京菜馆会见中外记者，就俄乌冲突、中东局势等国际和地区问题答记者问。,127 点赞,thepaper 没有频道
27026358,时间线丨从中东“炸馆”到伊朗报复，以伊两国13天内发生了什么,4月13日至14日，伊朗发射无人机、导弹空袭以色列。有媒体称这是伊朗首次直接攻击以领土，意味着中东局势可能升级。伊朗驻叙使馆遭袭至今13天，伊以两国发生了什么？,1394 点赞,thepaper 没有频道
26966916,伊朗称美国要为中东“炸馆”负责，美方：别以此为借口袭击美军,据《参考消息》报道，当地时间4月8日，美国国务院发言人米勒就伊朗可能对以色列实施报复表示，美方要求伊朗不要采取可能引发中东冲突升级的行动。,53 点赞,thepaper 没有频道
26941561,伊朗军事高官誓言为中东“炸馆”遇难者复仇：敌人将为杀戮感到后悔,据《参考消息》报道，当地时间4月6日，伊朗武装部队总参谋长巴盖里表示，将为7名死于大马士革袭击的伊朗伊斯兰革命卫队成员复仇，以色列会为自己的所作所为感到后悔。,78 点赞,thepaper 没有频道
26910952,中东“炸馆”事件后以方保持沉默，美方火速替以色列认领,参考消息网报道，当地时间4月2日美国国防部发言人表示，根据美方评估，4月1日发生的伊朗驻叙利亚大使馆遇袭事件系以色列所为。目前，以方并未公开承认发动了此次袭击。,24 点赞,thepaper 没有频道
26911198,中美元首通话是否谈及对中东局势的担忧？外交部回应,4月3日外交部例行记者会上，针对有记者提问中美元首通话是否谈及对中东局势的担忧？外交部发言人汪文斌表示，中方呼吁立即停火止战，全力避免无辜平民伤亡。,55 点赞,thepaper 没有频道
